date,returns
2025-03-20,0.0
2025-03-21,0.00175
2025-03-22,-0.0032443224357374596
2025-03-23,0.0
2025-03-24,-0.00100150225338007
2025-03-25,0.0012531328320802004
2025-03-26,0.00025031289111389235
2025-03-27,-0.0005005005005005005
2025-03-28,0.0
2025-03-29,0.0002503755633450175
2025-03-30,0.0
2025-03-31,0.0012515644555694619
2025-04-01,-0.00075
2025-04-02,0.0
2025-04-03,-0.0005003752814610958
2025-04-04,0.001501877346683354
2025-04-05,0.0
2025-04-06,-0.00024993751562109475
2025-04-07,-0.00025
2025-04-08,-0.0005001250312578145
2025-04-09,0.0005003752814610958
2025-04-10,-0.0005001250312578145
2025-04-11,0.0005003752814610958
2025-04-12,-0.00025006251562890725
2025-04-13,-0.0015007503751875938
2025-04-14,-0.000250501002004008
2025-04-15,0.0
2025-04-16,0.0
2025-04-17,-0.0007516913054372337
2025-04-18,0.0
2025-04-19,-0.0007522567703109327
2025-04-20,-0.0002509410288582183
2025-04-21,0.0007530120481927711
2025-04-22,0.0007524454477050414
2025-04-23,0.0
2025-04-24,-0.0002506265664160401
2025-04-25,0.0
2025-04-26,0.0017548257708698922
2025-04-27,0.002002002002002002
2025-04-28,-0.00024975024975024975
2025-04-29,0.0007494379215588309
2025-04-30,0.0004992511233150275
2025-05-01,0.0
2025-05-02,-0.000998003992015968
2025-05-03,-0.000999000999000999
2025-05-04,0.00025
2025-05-05,0.000999750062484379
2025-05-06,0.00024968789013732833
2025-05-07,0.0
2025-05-08,0.0004992511233150275
2025-05-09,0.0
2025-05-10,0.0
2025-05-11,0.000249500998003992
2025-05-12,0.0
2025-05-13,0.0
2025-05-14,0.0
2025-05-15,-0.0002494387627837366
2025-05-16,-0.000499001996007984
2025-05-17,-0.0004992511233150275
2025-05-18,0.00024975024975024975
2025-05-19,0.0
2025-05-20,0.0012484394506866417
2025-05-21,0.0
2025-05-22,0.0
2025-05-23,-0.0004987531172069825
2025-05-24,-0.000249500998003992
2025-05-25,0.0002495632642874969
2025-05-26,0.0
2025-05-27,0.000998003992015968
2025-05-28,0.0
2025-05-29,0.0
2025-05-30,0.0002492522432701894
2025-05-31,0.0
2025-06-01,0.0
2025-06-02,0.00049838026414154
2025-06-03,0.0
2025-06-04,-0.00024906600249066
2025-06-05,0.0
2025-06-06,-0.000996512207274539
2025-06-07,0.0
2025-06-08,0.0007481296758104738
2025-06-09,-0.00049838026414154
2025-06-10,-0.0012465719272001994
2025-06-11,0.00024962556165751375
2025-06-12,-0.0002495632642874969
2025-06-13,0.0
2025-06-14,0.00024962556165751375
2025-06-15,0.0004991265285749938
2025-06-16,0.0
2025-06-17,0.0
2025-06-18,0.0
