trade_id,event_id,entry_timestamp,entry_price,exit_timestamp,exit_price,size,side,gross_pnl,fees,net_pnl,duration
TRD_1,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-03-21T14:40:04Z,0.968,2025-03-22T07:20:05Z,0.965,5000,LONG,-15.000000000000014,0.0,-15.000000000000014,16.666944444444443
TRD_2,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-03-23T00:00:06Z,0.969,2025-03-23T16:40:05Z,0.969,5000,LONG,0.0,0.0,0.0,16.66638888888889
TRD_3,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-03-24T09:20:05Z,0.969,2025-03-25T02:00:05Z,0.9665,5000,LONG,-12.499999999999734,0.0,-12.499999999999734,16.666666666666668
TRD_4,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-03-25T18:40:05Z,0.9675,2025-03-26T11:20:05Z,0.971,5000,LONG,17.499999999999737,0.0,17.499999999999737,16.666666666666668
TRD_5,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-03-27T04:00:06Z,0.971,2025-03-27T20:40:06Z,0.97,5000,LONG,-5.000000000000004,0.0,-5.000000000000004,16.666666666666668
TRD_6,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-03-28T13:20:06Z,0.97,2025-03-29T06:00:05Z,0.97,5000,LONG,0.0,0.0,0.0,16.66638888888889
TRD_7,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-03-29T22:40:05Z,0.9685,2025-03-30T15:20:05Z,0.969,5000,LONG,2.4999999999997247,0.0,2.4999999999997247,16.666666666666668
TRD_8,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-03-31T08:00:06Z,0.97,2025-04-01T00:40:06Z,0.9725,5000,LONG,12.500000000000288,0.0,12.500000000000288,16.666666666666668
TRD_9,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-04-01T17:20:06Z,0.9725,2025-04-02T10:00:05Z,0.971,5000,LONG,-7.500000000000284,0.0,-7.500000000000284,16.66638888888889
TRD_10,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-04-03T02:40:05Z,0.971,2025-04-03T19:20:06Z,0.97,5000,LONG,-5.000000000000004,0.0,-5.000000000000004,16.666944444444443
TRD_11,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-04-04T12:00:07Z,0.9685,2025-04-05T04:40:06Z,0.9715,5000,LONG,15.000000000000014,0.0,15.000000000000014,16.66638888888889
TRD_12,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-04-05T21:20:05Z,0.9725,2025-04-06T14:00:05Z,0.972,5000,LONG,-2.5000000000002798,0.0,-2.5000000000002798,16.666666666666668
TRD_13,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-04-07T06:40:06Z,0.972,2025-04-07T23:20:06Z,0.9715,5000,LONG,-2.4999999999997247,0.0,-2.4999999999997247,16.666666666666668
TRD_14,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-04-08T16:00:06Z,0.9685,2025-04-09T08:40:05Z,0.9685,5000,LONG,0.0,0.0,0.0,16.66638888888889
TRD_15,43346999573571279084829705550951657228560122189852907354399832194708460277206,2025-04-10T01:20:05Z,0.97,2025-04-10T18:00:05Z,0.969,5000,LONG,-5.000000000000004,0.0,-5.000000000000004,16.666666666666668
