date,returns
2020-01-02,0.0
2020-01-03,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0010200612442889945
2020-02-18,0.00017146358541131335
2020-02-19,0.0008231653048778043
2020-02-20,-0.0017559512395077803
2020-02-21,-0.0036439251753915824
2020-02-24,-0.0054721671872600686
2020-02-25,-0.0025824235077807067
2020-02-26,0.0008194990974268457
2020-02-27,-0.0057556559111678895
2020-02-28,0.001849185215287319
2020-03-02,0.0051951311714586446
2020-03-03,0.00048425246915750897
2020-03-04,0.0
2020-03-05,0.0
2020-03-06,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,-0.0002587661942358155
2020-04-09,4.781480045679132e-06
2020-04-13,0.00017735279349206934
2020-04-14,0.003924980336122985
2020-04-15,-0.0008687856465222632
2020-04-16,0.002381453971723957
2020-04-17,0.0002719464203990718
2020-04-20,-0.0023983649486868375
2020-04-21,-0.004498315022529176
2020-04-22,0.0036783926005086176
2020-04-23,-0.00113402507045135
2020-04-24,0.0024646674502688537
2020-04-27,-0.00021443685732180917
2020-04-28,-0.0025822665874574158
2020-04-29,0.004762524454235972
2020-04-30,0.0015838972852082467
2020-05-01,-0.002779878232311628
2020-05-04,0.0025334251498412286
2020-05-05,0.001446268748345636
2020-05-06,0.0012168659296243334
2020-05-07,0.000878529564178443
2020-05-08,0.0013841377452599168
2020-05-11,0.0015648259307110557
2020-05-12,-0.0024339834853666087
2020-05-13,-0.0017625968212602316
2020-05-14,0.0005991744409328259
2020-05-15,0.0010264523652809832
2020-05-18,0.001706040351502347
